조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2015,경기도 김포시,과채류계,딸기,990,2,2000
2015,경기도 안성시,엽채류,얼갈이배추,35135.5,20.7,119840
2015,경기도 양주시,과채류계,딸기,5500,8.6,15645
2015,경기도 고양시,엽채류,쑥갓,160054,38.2,127850
2015,경기도 수원시,과채류계,토마토,20193,45.8,116500
2015,경기도 양주시,과채류계,파프리카,1500,10,15060
2015,경기도 군포시,엽채류,상추,6000,7.5,15000
2015,경기도 고양시,과채류계,토마토,4340,25.3,38000
2015,경기도 고양시,엽채류,얼갈이배추,88573,42.9,318600
2015,경기도 가평군,과채류계,오이,2930,7.5,7730
2015,경기도 안양시,근채류계,가을무,7500,18,45000
2015,경기도 광주시,과채류계,토마토,19221,39.1,61850
2015,경기도 양평군,엽채류,쑥갓,12671,13,27680
2015,경기도 화성시,과채류계,토마토,9210,14.9,38000
2015,경기도 양주시,과채류계,토마토,14200,27.7,60353
2015,경기도 파주시,근채류계,봄무,24500,12.2,101000
2015,경기도 광주시,근채류계,봄무,5000,18.3,15150
2015,경기도 성남시,과채류계,토마토,20513,19.9,57300
2015,경기도 고양시,과채류계,호박,4652,4.5,7048.48
2015,경기도 가평군,조미채소계,쪽파,2257,5.4,4068
2015,경기도 광명시,양채류계,녹색꽃양배추,800,2.3,1810
2015,경기도 용인시,과채류계,오이,13373,30.9,110120
2015,경기도 광명시,엽채류,쑥갓,4747,6.2,9785
2015,경기도 안산시,과채류계,토마토,15570,57.3,98800
2015,경기도 성남시,조미채소계,대파,12220,15.3,29970
2015,경기도 평택시,조미채소계,대파,12626,6.3,26518
2015,경기도 양평군,과채류계,딸기,47167,27.4,92746
2015,경기도 남양주시,양채류계,신선초,10706,8.3,27911
2015,경기도 포천시,엽채류,부추,140290,29.7,419080
2015,경기도 광명시,근채류계,열무,9000,7.8,70000
2015,경기도 양주시,엽채류,시금치,5700,9.5,10816
2015,경기도 동두천시,조미채소계,쪽파,3451,6.4,7220
2015,경기도 양주시,양채류계,파세리,4000,4.2,8420
2015,경기도 이천시,과채류계,파프리카,27000,33.3,300000
2015,경기도 광주시,과채류계,호박,4800,25.3,20300
2015,경기도 포천시,과채류계,호박,86449,47.7,373800
2015,경기도 성남시,엽채류,미나리,9456,8.6,27000
2015,경기도 양주시,조미채소계,고추,2500,0.4,500
2015,경기도 안양시,조미채소계,대파,6000,7.2,14000
2015,경기도 포천시,과채류계,풋고추,49328,61.2,127206
2015,경기도 포천시,과채류계,토마토,41384,79.4,244338
2015,경기도 광주시,근채류계,토란,6400,4.2,8900
2015,경기도 양주시,근채류계,봄무,3500,7.2,13020
2015,경기도 광주시,양채류계,샐러리,4500,3.3,4880
2015,경기도 포천시,과채류계,딸기,9927,13.3,28000
2015,경기도 평택시,엽채류,부추,6963,7.5,26250
2015,경기도 안산시,과채류계,오이,18481,38.7,120410
2015,경기도 안양시,과채류계,토마토,17600,25.7,50500
2015,경기도 구리시,과채류계,토마토,3380,11.8,10000
2015,경기도 이천시,양채류계,피망,27400,9.2,84000
2015,경기도 가평군,과채류계,토마토,14147,14.9,70130
2015,경기도 포천시,과채류계,오이,90436,106.5,468930
2015,경기도 양평군,양채류계,신선초,1000,2.3,2280
2015,경기도 과천시,엽채류,시금치,5565,10.8,10338
2015,경기도 여주시,과채류계,오이,20834,44,101904
2015,경기도 포천시,엽채류,상추,108138,21.4,183500
2015,경기도 구리시,근채류계,가을무,2000,3.3,6500
2015,경기도 용인시,과채류계,토마토,56223,26.6,202800
2015,경기도 광명시,엽채류,상추,126154,18,320405
2015,경기도 양평군,양채류계,케일,530,1.5,800
2015,경기도 이천시,근채류계,열무,3840,6,7680
2015,경기도 여주시,엽채류,부추,68711,59.6,226709
2015,경기도 이천시,엽채류,부추,62517,50,207192
2015,경기도 용인시,과채류계,수박,55378,22.4,203000
2015,경기도 동두천시,과채류계,풋고추,15184,6.8,35000
2015,경기도 광주시,과채류계,가지,14290,15.8,75000
2015,경기도 광주시,과채류계,오이,31455,91.3,160350
2015,경기도 양평군,조미채소계,고추,6635,8.4,3220
2015,경기도 김포시,과채류계,토마토,10000,26.7,53400
2015,경기도 과천시,과채류계,토마토,7000,23,22957
2015,경기도 양평군,엽채류,부추,11165,30,65780
2015,경기도 고양시,과채류계,딸기,8709,13.6,39586.36
2015,경기도 이천시,엽채류,양배추,11200,13.8,51520
2015,경기도 광주시,과채류계,딸기,6000,8,16000
2015,경기도 포천시,엽채류,시금치,2791154,60.1,5455135
