year,purpose,model,type,district,size,value
2015,non-purpose,lorry,normal,Daejeon,mid,40.1
2015,non-purpose,lorry,normal,Daejeon,large,55.2
2015,non-purpose,lorry,normal,Ulsan,small,38.3
2015,non-purpose,lorry,normal,Ulsan,mid,33.7
2015,non-purpose,lorry,normal,Ulsan,large,53.7
2015,purpose,saloon,normal,Seoul,light,54.4
2015,purpose,saloon,normal,Seoul,small,62
2015,purpose,saloon,normal,Seoul,mid,125.2
2015,purpose,saloon,normal,Seoul,large,95.9
2015,purpose,saloon,normal,Busan,light,53.9
2015,purpose,saloon,normal,Busan,small,92.2
2015,purpose,saloon,normal,Busan,mid,137.1
2015,purpose,saloon,normal,Busan,large,90.6
2015,purpose,saloon,normal,Daegu,light,55.7
2015,purpose,saloon,normal,Daegu,small,58.2
2015,purpose,saloon,normal,Daegu,mid,121.2
2015,purpose,saloon,normal,Daegu,large,81.7
2015,purpose,saloon,normal,Incheon,light,55.2
2015,purpose,saloon,normal,Incheon,small,59.6
2015,purpose,saloon,normal,Incheon,mid,90
2015,purpose,saloon,normal,Incheon,large,76
2015,purpose,saloon,normal,Gwangju,light,54.2
2015,purpose,saloon,normal,Gwangju,small,47.1
2015,purpose,saloon,normal,Gwangju,mid,120.8
2015,purpose,saloon,normal,Gwangju,large,75.8
2015,purpose,saloon,normal,Daejeon,light,55.9
2015,purpose,saloon,normal,Daejeon,small,50.2
2015,purpose,saloon,normal,Daejeon,mid,124.4
2015,purpose,saloon,normal,Daejeon,large,83.1
2015,purpose,saloon,normal,Ulsan,light,47.3
2015,purpose,saloon,normal,Ulsan,small,61
2015,purpose,saloon,normal,Ulsan,mid,136.3
2015,purpose,saloon,normal,Ulsan,large,111
2015,purpose,saloon,multipurpose,Seoul,mid,61.1
2015,purpose,saloon,multipurpose,Seoul,large,66.2
2015,purpose,saloon,multipurpose,Busan,mid,64.3
2015,purpose,saloon,multipurpose,Busan,large,63.6
2015,purpose,saloon,multipurpose,Daegu,mid,71.6
2015,purpose,saloon,multipurpose,Daegu,large,69.4
2015,purpose,saloon,multipurpose,Incheon,mid,71.9
2015,purpose,saloon,multipurpose,Incheon,large,76.4
2015,purpose,saloon,multipurpose,Gwangju,mid,67.9
2015,purpose,saloon,multipurpose,Gwangju,large,69.8
2015,purpose,saloon,multipurpose,Daejeon,mid,62.8
2015,purpose,saloon,multipurpose,Daejeon,large,68.2
2015,purpose,saloon,multipurpose,Ulsan,mid,52.8
2015,purpose,saloon,multipurpose,Ulsan,large,74.9
2015,purpose,van,normal,Seoul,small,50.8
2015,purpose,van,normal,Seoul,mid,103.8
2015,purpose,van,normal,Seoul,large,212.6
2015,purpose,van,normal,Busan,small,45
2015,purpose,van,normal,Busan,mid,107.8
2015,purpose,van,normal,Busan,large,216.6
2015,purpose,van,normal,Daegu,small,38.9
2015,purpose,van,normal,Daegu,mid,92.1
2015,purpose,van,normal,Daegu,large,219.6
2015,purpose,van,normal,Incheon,small,46.3
2015,purpose,van,normal,Incheon,mid,85.9
2015,purpose,van,normal,Incheon,large,227.2
2015,purpose,van,normal,Gwangju,small,50.6
2015,purpose,van,normal,Gwangju,mid,92.7
2015,purpose,van,normal,Gwangju,large,189.9
2015,purpose,van,normal,Daejeon,small,31.9
2015,purpose,van,normal,Daejeon,mid,96.5
2015,purpose,van,normal,Daejeon,large,194.5
2015,purpose,van,normal,Ulsan,small,0
2015,purpose,van,normal,Ulsan,mid,115.3
